label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,,0.00054078,0.00205219,0.00040901,0.00150431,110159.15817241,53500.00000000,56659.15817241,1.05904969,0.17182226,0.16482442,0.84902345,0.21456406,1.17831956,0.62663149,-0.27419985,530,2023,0.48926087,2022,-0.23070178,683104.66490420,258.62188101,0.88660505,0.00483405,0.58920434,0.49858682,,,,,0.41022594,0.12399876
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,QQQ<SMA200,0.01996849,0.28175419,0.01984963,0.28175784,108925.75125757,53500.00000000,55425.75125757,1.03599535,0.17059623,0.16226473,0.85491727,0.21096230,1.18281820,0.67153590,-0.25403888,362,2023,0.33693541,2022,-0.14656041,616896.95370741,235.34209513,0.80365605,0.00439892,0.60868551,0.49858682,,,,,0.39077933,0.05983953
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,,0.00046215,0.00184460,0.00037542,0.00182718,116077.84472025,53500.00000000,62577.84472025,1.16967934,0.18350153,0.17672717,0.84124200,0.23346102,1.16052002,0.66301844,-0.27676686,530,2023,0.49844602,2022,-0.23342347,972326.01162347,365.82528858,1.23017995,0.00683786,0.55557365,0.39922862,,,,,0.44392587,0.12427424
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,QQQ<SMA200,0.01992972,0.28159490,0.01983736,0.28159846,114837.55364077,53500.00000000,61337.55364077,1.14649633,0.18239031,0.17428316,0.84598242,0.23012783,1.16388204,0.72724461,-0.25079638,355,2023,0.34533699,2022,-0.14922804,902210.99220221,341.20081923,1.14503479,0.00637759,0.57506984,0.39922862,,,,,0.42442500,0.05999891
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,,0.00048517,0.00184460,0.00040026,0.00182718,122287.12629329,53500.00000000,68787.12629329,1.28574068,0.19568768,0.18858974,0.85060969,0.24676844,1.17187888,0.69531460,-0.28143762,571,2023,0.53702588,2022,-0.23334671,1279598.82870064,480.25256877,1.57372832,0.00897668,0.53268298,0.29913829,,,,,0.46678391,0.12426680
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,QQQ<SMA200,0.01990551,0.28142924,0.01984107,0.28143274,120977.48936658,53500.00000000,67477.48936658,1.26126148,0.19450766,0.18613765,0.85442262,0.24360080,1.17424549,0.76600979,-0.25392320,337,2023,0.37992377,2022,-0.14940155,1205067.65633670,453.80294643,1.48733436,0.00848230,0.55216387,0.29913829,,,,,0.44731783,0.06016463
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,,0.00046360,0.00184460,0.00038153,0.00182718,127758.49392018,53500.00000000,74258.49392018,1.38800923,0.20638752,0.19856384,0.86353258,0.25619468,1.19160091,0.73283740,-0.28162798,571,2023,0.57563915,2022,-0.23348100,1530792.44201743,574.12133655,1.82872956,0.01073124,0.51882811,0.19909169,,,,,0.48065380,0.12417752
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,QQQ<SMA200,0.01985007,0.28113230,0.01977932,0.28113572,126365.60328971,53500.00000000,72865.60328971,1.36197389,0.20518123,0.19606481,0.86692719,0.25313761,1.19360763,0.79696783,-0.25745233,324,2023,0.41479482,2022,-0.14961246,1452489.77816780,546.38537612,1.74110410,0.01021281,0.53826288,0.19909169,,,,,0.46122637,0.06046164
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00045156,0.00165623,0.00035047,0.00121483,123603.56477036,53500.00000000,70103.56477036,1.31034701,0.19878776,0.19102881,0.89430510,0.23413043,1.25421930,0.61720563,-0.32207703,530,2023,0.62446049,2022,-0.27984041,594630.50987680,225.27680114,0.70910198,0.00421078,0.55709447,0.49878517,,,,,0.44242923,0.14892715
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2019-05-08,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.02314796,0.33448040,0.02305658,0.33448393,122879.62875102,53500.00000000,69379.62875102,1.29681549,0.19899243,0.18969068,0.92154344,0.22516582,1.28867686,0.79384876,-0.25066793,140,2023,0.43172744,2022,-0.18161748,514405.62331742,196.75776654,0.61300298,0.00367772,0.57983449,0.49878517,,,,,0.41970170,0.07543290
