label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,,0.00071854,0.00294757,0.00066974,0.00314148,74695.29867500,44000.00000000,30695.29867500,0.69762042,0.14442892,0.15246117,0.80055731,0.19256863,1.13640570,0.52300022,-0.27615461,530,2023,0.48600005,2022,-0.23322437,392269.35163419,784.53870327,0.89134669,0.01783043,0.58725250,0.49685852,,,,,,,0.41187826,0.17353311
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,QQQ<SMA200,0.02665834,0.28920875,0.02659639,0.28922976,74022.76490277,44000.00000000,30022.76490277,0.68233557,0.14459825,0.14982875,0.81689496,0.18779095,1.15516342,0.69020049,-0.20950181,530,2023,0.32916286,2022,-0.13974255,357905.29115058,715.81058230,0.81533977,0.01626842,0.61323538,0.49685852,,,,,,,0.38592259,0.05236761
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,,0.00077010,0.00295634,0.00073863,0.00386290,77318.78164104,44000.00000000,33318.78164104,0.75724504,0.15296500,0.16252075,0.77635288,0.21380404,1.08865395,0.54910484,-0.27857157,531,2023,0.49382659,2022,-0.23568953,553164.18800082,1106.32837600,1.24509983,0.02514383,0.55268396,0.39919701,,,,,,,0.44634009,0.17325932
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,QQQ<SMA200,0.02667863,0.28917362,0.02667851,0.28919449,76634.77810309,44000.00000000,32634.77810309,0.74169950,0.15315203,0.15992934,0.78880051,0.20948077,1.10224860,0.72214836,-0.21207835,530,2023,0.33595307,2022,-0.14253089,517074.70227362,1034.14940455,1.16686921,0.02350340,0.57869754,0.39919701,,,,,,,0.42038243,0.05240287
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,,0.00081365,0.00271987,0.00081311,0.00247366,80167.63209185,44000.00000000,36167.63209185,0.82199164,0.16168369,0.17308714,0.76938478,0.23044012,1.07243747,0.57041293,-0.28345025,572,2023,0.53170220,2022,-0.23511585,719042.93077856,1438.08586156,1.59566873,0.03268377,0.52769677,0.29936770,,,,,,,0.47122937,0.17274749
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,QQQ<SMA200,0.02662076,0.28890650,0.02666239,0.28892734,79392.70362683,44000.00000000,35392.70362683,0.80437963,0.16159924,0.17024829,0.77864155,0.22643585,1.08185564,0.74071486,-0.21816660,572,2023,0.37000712,2022,-0.14285248,681381.11959978,1362.76223920,1.51725998,0.03097187,0.55366919,0.29936770,,,,,,,0.44534011,0.05267003
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,,0.00077623,0.00226039,0.00081701,0.00226859,82364.56935388,44000.00000000,38364.56935388,0.87192203,0.16936895,0.18099771,0.77143106,0.24198988,1.07519694,0.59673943,-0.28382397,572,2023,0.56940977,2022,-0.23541724,852317.24041207,1704.63448082,1.86286397,0.03874169,0.51361209,0.19901056,,,,,,,0.48531141,0.17277888
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,QQQ<SMA200,0.02658839,0.28866484,0.02664360,0.28868551,81589.83626049,44000.00000000,37589.83626049,0.85431446,0.16932668,0.17823092,0.77981856,0.23816772,1.08371621,0.74792911,-0.22639403,167,2023,0.40436346,2022,-0.14358057,813138.37384179,1626.27674768,1.78310964,0.03696084,0.53949800,0.19901056,,,,,,,0.45944838,0.05291186
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00072003,0.00294757,0.00061487,0.00314148,80750.38415210,44000.00000000,36750.38415210,0.83523600,0.16554975,0.17520508,0.82718883,0.21379666,1.18552410,0.51170203,-0.32352764,531,2023,0.62019332,2022,-0.28204260,327912.53004966,655.82506010,0.70808227,0.01490512,0.55361440,0.49685852,,,,,,,0.44553467,0.20766492
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.03101528,0.34412693,0.03093532,0.34414817,80315.23677279,44000.00000000,36315.23677279,0.82534629,0.16746902,0.17362495,0.87370555,0.20135855,1.24967656,0.69595681,-0.24063135,530,2023,0.42212688,2022,-0.17379692,287600.83711372,575.20167423,0.62071588,0.01307277,0.58403522,0.49685852,,,,,,,0.41520632,0.06576866
