label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,,0.00068927,0.00237867,0.00052855,0.00183629,75559.35246275,44000.00000000,31559.35246275,0.71725801,0.14744954,0.15581061,0.81391143,0.19269440,1.15628956,0.53727379,-0.27444023,530,2023,0.48939629,2022,-0.23097074,395649.67878012,150.23381403,0.89281431,0.00341440,0.58731982,0.49858973,,,,,,,0.41196222,0.17314243
VT TQQQ/BTAL t25 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.50000000,QQQ<SMA200,0.02654306,0.28895532,0.02640887,0.28896161,74734.20112591,44000.00000000,30734.20112591,0.69850457,0.14698572,0.15261276,0.82775040,0.18787844,1.17128852,0.70620094,-0.20813583,530,2023,0.33305614,2022,-0.13978749,360225.70104653,138.54148421,0.81634724,0.00314867,0.61324303,0.49858973,,,,,,,0.38607266,0.05263575
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,,0.00076372,0.00269021,0.00056229,0.00177119,78580.24318282,44000.00000000,34580.24318282,0.78591462,0.15750152,0.16724388,0.79478956,0.21381296,1.11586228,0.56983176,-0.27640004,530,2023,0.49849165,2022,-0.23312136,559159.80951537,210.16645336,1.24538660,0.00477651,0.55270710,0.39880839,,,,,,,0.44649066,0.17328211
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.60000000,QQQ<SMA200,0.02659669,0.28905083,0.02644862,0.28905707,77811.14563267,44000.00000000,33811.14563267,0.76843513,0.15730287,0.16437281,0.80602353,0.20948669,1.12761164,0.74880792,-0.21007105,530,2023,0.34112643,2022,-0.14185692,522292.34256012,197.95172926,1.16774677,0.00449890,0.57871781,0.39880839,,,,,,,0.42056333,0.05254030
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,,0.00074549,0.00277775,0.00057166,0.00192578,81801.47643642,44000.00000000,37801.47643642,0.85912446,0.16741137,0.17898918,0.79080291,0.23045371,1.10386449,0.59558980,-0.28108501,571,2023,0.53691865,2022,-0.23299470,729452.27856347,272.94329671,1.59771036,0.00620326,0.52776385,0.29896425,,,,,,,0.47144235,0.17349672
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.70000000,QQQ<SMA200,0.02650488,0.28886914,0.02639837,0.28887536,80963.38191708,44000.00000000,36963.38191708,0.84007686,0.16709610,0.17597562,0.79957005,0.22644580,1.11253569,0.77565074,-0.21542698,571,2023,0.37578863,2022,-0.14208609,690632.10903127,260.01392858,1.51875758,0.00590941,0.55371636,0.29896425,,,,,,,0.44560402,0.05272201
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,,0.00074621,0.00262681,0.00054833,0.00159775,84312.35172010,44000.00000000,40312.35172010,0.91618981,0.17596870,0.18784773,0.79501973,0.24189537,1.10983624,0.62516352,-0.28147628,571,2023,0.57555628,2022,-0.23339059,866236.66174042,324.22362225,1.86526260,0.00736872,0.51377575,0.19877942,,,,,,,0.48542223,0.17342735
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.25000000,0.80000000,QQQ<SMA200,0.02650787,0.28865319,0.02635955,0.28865936,83438.31392696,44000.00000000,39438.31392696,0.89632532,0.17560145,0.18479238,0.80263154,0.23806995,1.11721432,0.78246980,-0.22441946,167,2023,0.41034343,2022,-0.14273284,826081.23471547,310.68428334,1.78625323,0.00706101,0.53966383,0.19877942,,,,,,,0.45959871,0.05293801
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,,0.00078807,0.00260784,0.00060065,0.00195923,81548.66757088,44000.00000000,37548.66757088,0.85337881,0.16833843,0.17808320,0.83836624,0.21381684,1.20231749,0.52333228,-0.32166644,530,2023,0.62432588,2022,-0.27945781,330410.99794274,125.71041955,0.70855865,0.00285705,0.55366524,0.49858973,,,,,,,0.44552167,0.20794593
VT TQQQ/BTAL t30 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,BTAL,0.30000000,0.50000000,QQQ<SMA200,0.03119904,0.34435097,0.03104530,0.34435732,81007.84752424,44000.00000000,37007.84752424,0.84108744,0.16982450,0.17613624,0.88382224,0.20134267,1.26483020,0.71216078,-0.23846370,530,2023,0.42621371,2022,-0.17263121,289698.90832277,112.01145292,0.62168597,0.00254571,0.58414089,0.49858973,,,,,,,0.41506775,0.06555952
