label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.safe,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.DBMF.avg,exposure.DBMF.min,exposure.KMLM.avg,exposure.KMLM.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,,0.00075537,0.00223285,0.00065439,0.00273105,63982.19382801,44000.00000000,19982.19382801,0.45414077,0.10653167,0.10757142,0.75442873,0.14972599,1.07545435,0.52715240,-0.20208894,506,2023,0.33786494,2022,-0.15431645,301731.16755892,603.46233512,0.73664617,0.01371505,0.66974074,0.59726895,,,,,,,0.32937734,0.13832859
VT TQQQ/BTAL t20 w0-40 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.40000000,QQQ<SMA200,0.02189296,0.23292516,0.02181389,0.23294576,63302.72624173,44000.00000000,19302.72624173,0.43869832,0.10550336,0.10448764,0.74037039,0.15171457,1.05014768,0.60027412,-0.17575864,177,2024,0.27452184,2022,-0.07533887,274578.29170651,549.15658341,0.67332923,0.01248083,0.69098270,0.59726895,,,,,,,0.30819853,0.04033213
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,,0.00080753,0.00294757,0.00074535,0.00314148,66615.92037464,44000.00000000,22615.92037464,0.51399819,0.11629634,0.11923575,0.74437175,0.16740438,1.04611576,0.56940120,-0.20424322,513,2023,0.35214170,2022,-0.15657185,446205.33781185,892.41067562,1.07564825,0.02028206,0.63652343,0.49685852,,,,,,,0.36249031,0.13827450
VT TQQQ/BTAL t20 w0-50 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.50000000,QQQ<SMA200,0.02191983,0.23280441,0.02183746,0.23282489,65887.63708388,44000.00000000,21887.63708388,0.49744630,0.11514708,0.11605501,0.73224140,0.16917321,1.02524030,0.61444611,-0.18739981,177,2024,0.24277725,2022,-0.07802987,417071.14034207,834.14228068,1.01035905,0.01895778,0.65765748,0.49685852,,,,,,,0.34138334,0.04045300
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,,0.00079397,0.00295214,0.00075953,0.00255642,68811.03150590,44000.00000000,24811.03150590,0.56388708,0.12457316,0.12862611,0.74122429,0.18146983,1.03557435,0.60984971,-0.20426862,513,2023,0.38737689,2022,-0.15661119,583692.87477175,1167.38574954,1.38600842,0.02653149,0.61573853,0.39942991,,,,,,,0.38324078,0.13825155
VT TQQQ/BTAL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.60000000,QQQ<SMA200,0.02182763,0.23267893,0.02183241,0.23269931,68075.93354170,44000.00000000,24075.93354170,0.54718031,0.12342651,0.12551364,0.73077463,0.18306146,1.01790458,0.62040399,-0.19894538,178,2023,0.26618078,2022,-0.07851017,553164.28480494,1106.32856961,1.32026571,0.02514383,0.63698021,0.39942991,,,,,,,0.36209863,0.04057858
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,,0.00082657,0.00295214,0.00080097,0.00253322,70280.13434946,44000.00000000,26280.13434946,0.59727578,0.12963523,0.13475285,0.73949939,0.19020914,1.03231699,0.61720044,-0.21003748,178,2023,0.42226714,2022,-0.15663080,680310.95186893,1360.62190374,1.60141243,0.03092323,0.60585300,0.29970033,,,,,,,0.39306170,0.13872424
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.70000000,QQQ<SMA200,0.02178352,0.23242747,0.02180935,0.23244780,69460.06307521,44000.00000000,25460.06307521,0.57863780,0.12827174,0.13134800,0.72878413,0.19174573,1.01451666,0.61070880,-0.21003748,178,2023,0.29847436,2022,-0.07882803,648707.40091784,1297.41480184,1.53523033,0.02948670,0.62699793,0.29977031,,,,,,,0.37202433,0.04083009
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,,0.00083253,0.00295214,0.00083293,0.00300391,71889.71995152,44000.00000000,27889.71995152,0.63385727,0.13453959,0.14132747,0.74163375,0.19744339,1.03483603,0.60882850,-0.22098109,209,2023,0.44765539,2022,-0.15693432,757597.50567282,1515.19501135,1.76740399,0.03443625,0.59983795,0.19891289,,,,,,,0.39904740,0.13805835
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2020-12-18,2026-08-20,false,true,20.00000000,0.03000000,tests/data/2026-08-20-net15,BTAL,0.20000000,0.80000000,QQQ<SMA200,0.02196598,0.23274857,0.02199464,0.23276891,71170.74901040,44000.00000000,27170.74901040,0.61751702,0.13364010,0.13840814,0.73357381,0.19893072,1.02105508,0.60475805,-0.22098109,209,2023,0.32164126,2022,-0.07804798,725369.05762519,1450.73811525,1.69979291,0.03297132,0.62105819,0.19891289,,,,,,,0.37787997,0.04050899
