label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.60000000,,0.00128345,0.01035393,0.00118977,0.00734422,125399.31693736,81500.00000000,43899.31693736,0.53864193,0.00842480,0.06200825,0.14873678,0.22107731,0.20593039,0.01386913,-0.60744961,3875,2009,0.43055234,2008,-0.31920661,1407102.81110290,140.62675394,1.16627287,0.00172548,0.66423703,0.39868057,,,,,0.33447080,0.07854543
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.60000000,QQQ<SMA200,0.04668347,0.33885353,0.04658999,0.33885378,127952.48841814,81500.00000000,46452.48841814,0.56996918,0.03989556,0.06483006,0.30205979,0.18886565,0.41618051,0.11125377,-0.35859959,897,2009,0.35722705,2008,-0.29133359,1424745.28850837,140.82718355,1.06193731,0.00172794,0.71029062,0.39857478,,,,,0.28852586,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.80000000,,0.00132751,0.01035393,0.00123552,0.00734422,125163.46338286,81500.00000000,43663.46338286,0.53574802,0.00627550,0.06174439,0.14119454,0.22662780,0.19510095,0.01033090,-0.60744961,3877,2009,0.43055678,2008,-0.31920831,1745990.93135711,174.50954576,1.47561743,0.00214122,0.65387846,0.19901312,,,,,0.34478358,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.80000000,QQQ<SMA200,0.04700040,0.41196349,0.04690848,0.41196375,127225.21052806,81500.00000000,45725.21052806,0.56104553,0.03750850,0.06403262,0.28679835,0.19510401,0.39414887,0.10460356,-0.35857770,896,2009,0.35719988,2008,-0.29129489,1778999.10843380,176.33958127,1.35540237,0.00216368,0.70021999,0.19959144,,,,,0.29854830,0.00015691
VT TQQQ/BIL t30 w0-60 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.60000000,,0.00150401,0.01166646,0.00131057,0.01101633,123628.00524231,81500.00000000,42128.00524231,0.51690804,-0.01936102,0.06001309,0.08761368,0.30342465,0.12116726,-0.02503118,-0.77347623,,2009,0.66626427,2008,-0.45391339,1021778.64704139,101.91980515,0.89697626,0.00125055,0.56058104,0.39806101,,,,,0.43790748,0.11285581
VT TQQQ/BIL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.60000000,QQQ<SMA200,0.06573298,0.44573292,0.06564005,0.44573348,131472.29291751,81500.00000000,49972.29291751,0.61315697,0.03573900,0.06862026,0.26593544,0.25256075,0.36654609,0.07097871,-0.50351718,1098,2009,0.54596910,2008,-0.42012174,1049635.10547926,103.11604269,0.76929390,0.00126523,0.62588474,0.39858217,,,,,0.37292639,0.00022908
VT TQQQ/BIL t30 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.80000000,,0.00155472,0.01166646,0.00136551,0.01101633,133246.47459671,81500.00000000,51746.47459671,0.63492607,-0.01401466,0.07048874,0.12055237,0.32661174,0.16685392,-0.01811905,-0.77347623,,2009,0.68747417,2008,-0.45794734,1794234.51720128,179.46970704,1.54226350,0.00220208,0.50926017,0.19803419,,,,,0.48917345,0.11285581
VT TQQQ/BIL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.80000000,QQQ<SMA200,0.06804230,0.44573292,0.06795373,0.44573348,139400.35426219,81500.00000000,57900.35426219,0.71043379,0.03887189,0.07676488,0.27692413,0.27855869,0.38179159,0.07664352,-0.50717775,1080,2009,0.56562893,2008,-0.42438512,1930037.96448745,191.48862361,1.41817170,0.00234955,0.57681982,0.19857296,,,,,0.42193648,0.00022908
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA94,full,full,2000-01-03,2011-12-30,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.94000000,0.20000000,0.60000000,,0.00140225,0.01415654,0.00125034,0.01114673,117056.41053906,81500.00000000,35556.41053906,0.43627498,0.01125973,0.05232452,0.15766769,0.20633380,0.21835190,0.02113807,-0.53267571,3867,2009,0.40402093,2008,-0.30738366,821606.14223270,82.25209686,0.68600512,0.00100923,0.68505084,0.39847358,,,,,0.31354165,0.08439342
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA94 gate QQQ<SMA200,full,full,2000-01-03,2011-12-30,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.94000000,0.20000000,0.60000000,QQQ<SMA200,0.03943911,0.21033709,0.03935605,0.21033758,113883.82971030,81500.00000000,32383.82971030,0.39734760,0.03159610,0.04843921,0.26353295,0.17940594,0.36132563,0.08786886,-0.35958251,1100,2009,0.32736274,2008,-0.29482223,802313.29581573,78.67467042,0.61794606,0.00096533,0.72391138,0.39917094,,,,,0.27490252,0.00015377
