label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BIL.avg,exposure.BIL.min,exposure.QQQ.avg,exposure.QQQ.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA80,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.60000000,,0.00062381,0.01035393,0.00058452,0.00734422,2447776.61431808,169500.00000000,2278276.61431808,13.44115997,0.11424520,0.15709667,0.59796030,0.22311170,0.82742636,0.18807355,-0.60744961,3875,2013,0.58224965,2008,-0.31920661,35408933.91752665,3540.47400405,1.37178226,0.02088775,0.61094469,0.39868057,,,,,0.38842118,0.07854543
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.60000000,QQQ<SMA200,0.02756641,0.33885353,0.02752730,0.33885378,2251659.83474746,169500.00000000,2082159.83474746,12.28412882,0.12487482,0.15261790,0.67624477,0.20590048,0.93182912,0.34822912,-0.35859959,897,2013,0.58225383,2008,-0.29133359,31454436.82975555,3142.79470425,1.30905837,0.01854156,0.63817198,0.39857478,,,,,0.36123618,0.00015691
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.80000000,,0.00064335,0.01035393,0.00060803,0.00734422,2903661.23646015,169500.00000000,2734161.23646015,16.13074476,0.12097984,0.16623181,0.60060888,0.23791936,0.83069864,0.19916029,-0.60744961,3877,2017,0.70078974,2008,-0.31920831,54986158.07329063,5498.47520736,1.86985471,0.03243938,0.58421512,0.19901312,,,,,0.41512725,0.07854543
VT TQQQ/BIL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.20000000,0.80000000,QQQ<SMA200,0.02770583,0.41196349,0.02767015,0.41196375,2660048.07958359,169500.00000000,2490548.07958359,14.69349899,0.13158981,0.16154863,0.67019990,0.22176873,0.92346462,0.36697711,-0.35857770,896,2017,0.70078610,2008,-0.29129489,49149819.33729528,4912.66841229,1.80530482,0.02898329,0.61157020,0.19959144,,,,,0.38781372,0.00015691
VT TQQQ/BIL t30 w0-60 QQQ:VOL_EWMA80,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.60000000,,0.00071872,0.01166646,0.00063334,0.01101633,4778866.41585213,169500.00000000,4609366.41585213,27.19390216,0.13038323,0.19275514,0.56925914,0.28995842,0.79033380,0.16856786,-0.77347623,4378,2023,0.80009934,2008,-0.45391339,40172642.26245403,4015.97355944,0.96398118,0.02369306,0.51239522,0.39806101,,,,,0.48687882,0.11285581
VT TQQQ/BIL t30 w0-60 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.60000000,QQQ<SMA200,0.03872909,0.44573292,0.03868824,0.44573348,4405848.58530911,169500.00000000,4236348.58530911,24.99320699,0.15201518,0.18843704,0.67408870,0.26136238,0.93238075,0.30190664,-0.50351718,1098,2013,0.70570085,2008,-0.42012174,33914038.91078304,3387.93122525,0.87696984,0.01998779,0.55089201,0.39858217,,,,,0.44852724,0.00022908
VT TQQQ/BIL t30 w0-80 QQQ:VOL_EWMA80,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.80000000,,0.00073281,0.01166646,0.00065265,0.01101633,6528305.16270190,169500.00000000,6358805.16270190,37.51507471,0.14432784,0.20931822,0.57940510,0.32473661,0.80284781,0.18659634,-0.77347623,4346,2013,0.91235019,2008,-0.45794734,94056801.73960859,9405.60485988,1.74488140,0.05549029,0.43913019,0.19803419,,,,,0.56012408,0.11285581
VT TQQQ/BIL t30 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.80000000,0.30000000,0.80000000,QQQ<SMA200,0.03999366,0.44573292,0.03995889,0.44573348,5913085.02135048,169500.00000000,5743585.02135048,33.88545735,0.16484337,0.20406365,0.66236954,0.29870849,0.91434250,0.32502091,-0.50717775,1080,2013,0.91234847,2008,-0.42438512,81277841.14181881,8125.44175939,1.65724264,0.04793771,0.47887296,0.19857296,,,,,0.52052415,0.00022908
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA94,full,full,2000-01-03,2026-08-24,false,false,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.94000000,0.20000000,0.60000000,,0.00068469,0.01415654,0.00061630,0.01114673,1999939.77957474,169500.00000000,1830439.77957474,10.79905475,0.10920869,0.14624398,0.59807768,0.21108558,0.82780071,0.20501909,-0.53267571,3867,2013,0.58458940,2008,-0.30738366,17443244.19926651,1744.36056888,0.77781140,0.01029121,0.63191329,0.39847358,,,,,0.36739588,0.08439342
VT TQQQ/BIL t20 w0-60 QQQ:VOL_EWMA94 gate QQQ<SMA200,full,full,2000-01-03,2026-08-24,false,true,"{""*"": 6, ""BIL"": 0.5, ""BTAL"": 6, ""DBMF"": 2.5, ""KMLM"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-24-syn-net15,0.94000000,0.20000000,0.60000000,QQQ<SMA200,0.02179673,0.21033709,0.02175931,0.21033758,1813886.88208058,169500.00000000,1644386.88208058,9.70139753,0.11567285,0.14097795,0.65450598,0.19757214,0.90094123,0.32168654,-0.35958251,1100,2013,0.58459075,2008,-0.29482223,15649754.54544769,1562.73611895,0.75351133,0.00921968,0.65339449,0.39917094,,,,,0.34601022,0.00015377
