label,kind,window,start,end,is_baseline,feasible,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA90,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.60000000,,0.00015054,0.00150018,0.00013569,0.00148852,756592.40961500,97500.00000000,659092.40961500,6.75992215,0.24038456,0.22798146,0.99349920,0.24868479,1.39026881,0.75125188,-0.31997864,533,2013,0.62274529,2022,-0.28310376,0.47539289,0.39879613,,,0.52445657,0.13114175
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA90 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.60000000,QQQ<SMA200,0.01223678,0.28479556,0.01222072,0.28479556,682562.78629600,97500.00000000,585062.78629600,6.00064396,0.22941681,0.21706737,0.97016913,0.24439105,1.35467937,0.74790634,-0.30674537,184,2013,0.62272736,2022,-0.22902298,0.48747637,0.39873488,,,0.51236454,0.10324181
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA90,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.70000000,,0.00015730,0.00146040,0.00014128,0.00144580,849938.14731050,97500.00000000,752438.14731050,7.71731433,0.25411920,0.24030771,0.96652158,0.27396118,1.34678159,0.78556711,-0.32348503,572,2013,0.74293842,2022,-0.28313079,0.42618790,0.29855420,,,0.57365480,0.13113990
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA90 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.70000000,QQQ<SMA200,0.01200505,0.28463159,0.01199100,0.28463159,771935.94584200,97500.00000000,674435.94584200,6.91729175,0.24380773,0.23010882,0.94566512,0.27014825,1.31542228,0.76286132,-0.31959640,189,2013,0.74299444,2022,-0.22915169,0.43803174,0.29855420,,,0.56180475,0.10340579
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA90,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.80000000,,0.00014675,0.00123355,0.00013141,0.00122898,895597.31914350,97500.00000000,798097.31914350,8.18561353,0.26073087,0.24585191,0.93722841,0.29444231,1.30184977,0.80061936,-0.32566146,572,2013,0.81589060,2022,-0.28313523,0.39087232,0.19922893,,,0.60898093,0.13115981
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA90 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.30000000,0.80000000,QQQ<SMA200,0.01204527,0.28460999,0.01203178,0.28460999,810895.16983850,97500.00000000,713395.16983850,7.31687354,0.25009424,0.23532558,0.91590135,0.29088040,1.27005950,0.78252675,-0.31959833,189,2013,0.81585349,2022,-0.22915988,0.40279145,0.19922893,,,0.59706992,0.10342738
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA90,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.35000000,0.60000000,,0.00016973,0.00156358,0.00015370,0.00154997,937754.74268000,97500.00000000,840254.74268000,8.61799736,0.26198996,0.25072616,1.01141144,0.26576676,1.42005959,0.68293413,-0.38362406,535,2023,0.75770327,2022,-0.34855112,0.44975041,0.39845003,,,0.55007986,0.15299552
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA90 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.35000000,0.60000000,QQQ<SMA200,0.01397239,0.32530699,0.01395847,0.32530699,828753.39626100,97500.00000000,731253.39626100,7.50003483,0.24880995,0.23763351,0.98976118,0.25919688,1.38582037,0.73310217,-0.33939328,568,2013,0.62286995,2022,-0.29120672,0.46357073,0.39845003,,,0.53625994,0.12740328
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA90,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.35000000,0.70000000,,0.00015193,0.00146887,0.00013786,0.00146029,1134267.25658150,97500.00000000,1036767.25658150,10.63351032,0.28433589,0.27090211,0.99274487,0.29764651,1.38754856,0.73639700,-0.38611766,573,2013,0.79225037,2022,-0.34855463,0.38797507,0.29896062,,,0.61187300,0.15300204
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA90 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.90000000,0.35000000,0.70000000,QQQ<SMA200,0.01350627,0.32493398,0.01349342,0.32493398,1014485.68207250,97500.00000000,916985.68207250,9.40498135,0.27240096,0.25906300,0.97424194,0.29196541,1.35884759,0.75929439,-0.35875539,188,2013,0.79203789,2022,-0.29145347,0.40130877,0.29896062,,,0.59852433,0.12777629
