label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.60000000,,0.00017156,0.00156958,0.00015277,0.00153222,582766.69978400,97500.00000000,485266.69978400,4.97709436,0.21313987,0.20029344,0.95568196,0.23068308,1.33000295,0.72790804,-0.29281153,528,2013,0.58611447,2022,-0.25423833,7419554.91259100,0.00000000,1.25498625,0.00000000,0.50971945,0.39846778,,,0.49010900,0.13519188
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.60000000,QQQ<SMA200,0.01490449,0.28004671,0.01488648,0.28004671,530435.70237650,97500.00000000,432935.70237650,4.44036618,0.20276957,0.19029034,0.92904827,0.22716147,1.28908665,0.79072097,-0.25643631,355,2013,0.58619314,2022,-0.17146424,6463823.59058350,0.00000000,1.17463199,0.00000000,0.52443205,0.39846778,,,0.47537963,0.06466682
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.70000000,,0.00018436,0.00133912,0.00016503,0.00130934,631954.73720450,97500.00000000,534454.73720450,5.48158705,0.22208210,0.20889626,0.92260691,0.25278827,1.27932873,0.74531073,-0.29797250,605,2017,0.64895198,2022,-0.25424934,10126233.09563750,0.00000000,1.64303418,0.00000000,0.47027674,0.29895191,,,0.52953890,0.13521012
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.70000000,QQQ<SMA200,0.01526724,0.27999855,0.01525139,0.27999855,575376.95365000,97500.00000000,477876.95365000,4.90130209,0.21161106,0.19893765,0.89743172,0.24928197,1.24129079,0.81770849,-0.25878545,576,2017,0.64894759,2022,-0.17148480,8966847.99368700,0.00000000,1.56281147,0.00000000,0.48538670,0.29895191,,,0.51443918,0.06471499
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.80000000,,0.00017575,0.00141779,0.00015756,0.00138331,677479.68275450,97500.00000000,579979.68275450,5.94850957,0.22985199,0.21627478,0.90132174,0.27122427,1.24862565,0.76941083,-0.29873766,605,2017,0.74366845,2022,-0.25423281,12980997.13878250,0.00000000,2.01669163,0.00000000,0.44037188,0.19861669,,,0.55945237,0.13520247
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.25000000,0.80000000,QQQ<SMA200,0.01524087,0.27992493,0.01522560,0.27992493,616504.36625800,97500.00000000,519004.36625800,5.32312171,0.21931326,0.20626937,0.87680008,0.26796191,1.21199676,0.76095406,-0.28820828,576,2017,0.74366359,2022,-0.17156121,11590014.78492900,0.00000000,1.93511043,0.00000000,0.45548117,0.19861669,,,0.54436232,0.06478861
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.60000000,,0.00017210,0.00133153,0.00015651,0.00130974,784937.66455250,97500.00000000,687437.66455250,7.05064271,0.24354950,0.23187855,0.99948978,0.25011803,1.39647610,0.70100286,-0.34743011,561,2023,0.61121293,2022,-0.31003125,7531749.75140950,0.00000000,1.03899539,0.00000000,0.47368014,0.39869026,,,0.52614776,0.16224659
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.60000000,QQQ<SMA200,0.01741173,0.33251152,0.01739466,0.33251152,700588.05427500,97500.00000000,603088.05427500,6.18551851,0.23115982,0.21983080,0.97956870,0.24321714,1.36310852,0.83763916,-0.27596587,533,2013,0.60392208,2022,-0.21420398,6240373.55902000,0.00000000,0.94217027,0.00000000,0.49092553,0.39869026,,,0.50889961,0.08114472
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.70000000,,0.00016697,0.00126014,0.00015119,0.00125004,884054.63960950,97500.00000000,786554.63960950,8.06722707,0.25818547,0.24447744,0.96524116,0.27921964,1.34220205,0.69641582,-0.37073464,725,2013,0.75086820,2022,-0.32977092,11232522.46629350,0.00000000,1.43984543,0.00000000,0.42093002,0.29874996,,,0.57890301,0.16223553
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.70000000,QQQ<SMA200,0.01725927,0.33241403,0.01724639,0.33241403,797733.73335050,97500.00000000,700233.73335050,7.18188444,0.24678935,0.23359184,0.94736570,0.27306193,1.31316086,0.81765340,-0.30182636,606,2013,0.75081931,2022,-0.23671181,9693089.87210150,0.00000000,1.34718365,0.00000000,0.43806031,0.29874996,,,0.56178921,0.08124221
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.80000000,,0.00014873,0.00152316,0.00013393,0.00148851,969414.03775000,97500.00000000,871914.03775000,8.94270808,0.26866658,0.25424527,0.93992912,0.30307582,1.30329387,0.71237495,-0.37714209,752,2013,0.84131027,2022,-0.32978309,15006624.39059600,0.00000000,1.82606404,0.00000000,0.37887521,0.19851149,,,0.62097607,0.16224106
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.30000000,0.80000000,QQQ<SMA200,0.01770469,0.33234381,0.01769093,0.33234381,874580.80864150,97500.00000000,777080.80864150,7.97005958,0.25709883,0.24333587,0.92196476,0.29705844,1.27483855,0.80978307,-0.31749099,576,2013,0.84122903,2022,-0.23675138,13132314.99238650,0.00000000,1.73319642,0.00000000,0.39644246,0.19851149,,,0.60340813,0.08131243
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,0.00000000,0.00000000,0.75000000,0.35000000,0.60000000,,0.00017193,0.00216162,0.00015616,0.00215205,969496.36733900,97500.00000000,871996.36733900,8.94355249,0.26524280,0.25425427,1.02391681,0.26478478,1.43795031,0.67470633,-0.39312333,563,2023,0.74679699,2022,-0.35609276,6895109.87698200,0.00000000,0.82765786,0.00000000,0.45009304,0.39843284,,,0.54973504,0.18927455
