label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.60000000,,0.00019754,0.00138168,0.00020981,0.00141805,576820.09704051,97500.00000000,479320.09704051,4.91610356,0.21210380,0.19920380,0.95198818,0.23067661,1.32458423,0.72319634,-0.29328660,557,2013,0.58562291,2022,-0.25489516,7364918.34760950,2765.27593563,1.25436907,0.02836180,0.50967414,0.39863740,,,0.49009186,0.13518843
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.60000000,QQQ<SMA200,0.01491724,0.28003444,0.01493100,0.28003501,525352.82894629,97500.00000000,427852.82894629,4.38823414,0.20178112,0.18926564,0.92542632,0.22715918,1.28379173,0.78538568,-0.25691978,355,2013,0.58550297,2022,-0.17167499,6419099.67926700,2413.62477814,1.17413639,0.02475513,0.52439712,0.39863740,,,0.47536818,0.06467853
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.70000000,,0.00018418,0.00113181,0.00020696,0.00123880,623268.72472086,97500.00000000,525768.72472086,5.39249974,0.22065453,0.20742756,0.91795169,0.25279546,1.27254669,0.73861313,-0.29874169,605,2017,0.64746837,2022,-0.25491369,10025295.77394950,3761.23504316,1.64239165,0.03857677,0.47024798,0.29910253,,,0.52951800,0.13518265
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.70000000,QQQ<SMA200,0.01526386,0.27995995,0.01528980,0.27996052,567787.42520931,97500.00000000,470287.42520931,4.82346077,0.21022975,0.19752666,0.89281880,0.24929158,1.23459024,0.80906576,-0.25984260,577,2017,0.64748601,2022,-0.17174320,8880314.02040400,3334.80930328,1.56211186,0.03420317,0.48534895,0.29910253,,,0.51442129,0.06475301
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.80000000,,0.00020129,0.00152196,0.00024123,0.00163185,665566.15704348,97500.00000000,568066.15704348,5.82631956,0.22797910,0.21439339,0.89563176,0.27124854,1.24037149,0.76119626,-0.29950107,605,2017,0.74139456,2022,-0.25488864,12812158.07529000,4806.20503960,2.01606705,0.04929441,0.44030916,0.19872687,,,0.55942518,0.13518977
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.80000000,QQQ<SMA200,0.01529055,0.27992188,0.01533025,0.27992244,606098.56699278,97500.00000000,508598.56699278,5.21639556,0.21750075,0.20446231,0.87117383,0.26798861,1.20385619,0.75118728,-0.28954264,576,2017,0.74144457,2022,-0.17175953,11445468.40254300,4296.74976572,1.93460170,0.04406923,0.45539456,0.19872687,,,0.54433209,0.06479110
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.60000000,,0.00017923,0.00148837,0.00018823,0.00147746,778418.42876647,97500.00000000,680918.42876647,6.98377876,0.24272853,0.23099489,0.99686747,0.25010954,1.39259030,0.69747139,-0.34801217,561,2023,0.61021984,2022,-0.31073244,7486065.07613200,2812.22532404,1.03841164,0.02884334,0.47365662,0.39888210,,,0.52613562,0.16224260
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.60000000,QQQ<SMA200,0.01741403,0.33249853,0.01742245,0.33249903,695321.71722514,97500.00000000,597821.71722514,6.13150479,0.23040489,0.21903090,0.97706985,0.24320721,1.35941913,0.83342309,-0.27645609,533,2013,0.60344186,2022,-0.21436688,6205981.56743300,2334.99464522,0.94166103,0.02394866,0.49090402,0.39888210,,,0.50889192,0.08115722
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.70000000,,0.00016290,0.00114284,0.00018477,0.00120109,873636.06095904,97500.00000000,776136.06095904,7.96036986,0.25699157,0.24322136,0.96184960,0.27921238,1.33721795,0.69177496,-0.37149591,731,2013,0.75029918,2022,-0.33049205,11135843.02999650,4178.56836134,1.43908740,0.04285711,0.42091579,0.29885052,,,0.57888053,0.16225115
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.70000000,QQQ<SMA200,0.01727151,0.33238962,0.01729114,0.33239008,789000.66694697,97500.00000000,691500.66694697,7.09231453,0.24567276,0.23242557,0.94409372,0.27305459,1.30836765,0.81202142,-0.30254468,606,2013,0.75027184,2022,-0.23693865,9614898.72951950,3611.20815376,1.34647308,0.03703803,0.43802107,0.29885052,,,0.56177280,0.08126616
