label,kind,window,start,end,is_baseline,feasible,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.70000000,,0.00020149,0.00150342,0.00017845,0.00149364,426672.85679150,97500.00000000,329172.85679150,3.37613186,0.17994795,0.16706417,0.87215414,0.21745151,1.21080717,0.69703105,-0.25816347,362,2017,0.60467434,2022,-0.16044624,0.54388836,0.29928571,,,0.45591015,0.09943336
VT TQQQ/BTAL t20 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.70000000,QQQ<SMA200,0.01127929,0.21965324,0.01125670,0.21965324,400173.35879150,97500.00000000,302673.35879150,3.10434214,0.17244863,0.16019353,0.84428739,0.21691857,1.17039906,0.66797815,-0.25816508,362,2017,0.60468855,2022,-0.09622743,0.55498180,0.29919595,,,0.44481898,0.05240686
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.80000000,,0.00018114,0.00138117,0.00015904,0.00136282,452811.31455100,97500.00000000,355311.31455100,3.64421861,0.18660515,0.17342215,0.86712242,0.22793872,1.20338254,0.71892706,-0.25956062,364,2017,0.65374633,2022,-0.16041713,0.52761981,0.19896536,,,0.47219905,0.09940996
VT TQQQ/BTAL t20 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.80000000,QQQ<SMA200,0.01126668,0.21962351,0.01124744,0.21962351,424464.34773450,97500.00000000,326964.34773450,3.35348049,0.17907166,0.16650866,0.84045889,0.22743365,1.16482359,0.68987386,-0.25957160,364,2017,0.65371447,2015,-0.09751791,0.53868949,0.19896536,,,0.46111586,0.05243659
VT TQQQ/BTAL t20 w0-90 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.90000000,,0.00018039,0.00111303,0.00015839,0.00110560,481843.58942100,97500.00000000,384343.58942100,3.94198553,0.19257055,0.18005541,0.87264527,0.23383025,1.21285877,0.74076431,-0.25996197,366,2017,0.68642647,2022,-0.16042344,0.51873116,0.09947923,,,0.48108845,0.09941453
VT TQQQ/BTAL t20 w0-90 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.20000000,0.90000000,QQQ<SMA200,0.01126164,0.21958173,0.01124234,0.21958173,451393.17082150,97500.00000000,353893.17082150,3.62967355,0.18498884,0.17308702,0.84658198,0.23333812,1.17514785,0.71156505,-0.25997460,366,2017,0.68641882,2015,-0.10014889,0.52981062,0.09951763,,,0.47000634,0.05247838
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.25000000,0.70000000,,0.00017200,0.00143919,0.00015398,0.00142827,621761.18664200,97500.00000000,524261.18664200,5.37703781,0.22020663,0.20717055,0.92444690,0.24979716,1.28218127,0.78566703,-0.28027985,573,2017,0.65299937,2022,-0.23807054,0.47451796,0.29891140,,,0.52531003,0.12427840
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.25000000,0.70000000,QQQ<SMA200,0.01368226,0.27143931,0.01366457,0.27143931,577462.08502200,97500.00000000,479962.08502200,4.92268805,0.21153436,0.19932199,0.90352614,0.24685517,1.25062321,0.83600687,-0.25302945,337,2017,0.65299482,2022,-0.16254278,0.48801786,0.29891140,,,0.51179772,0.06863582
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.25000000,0.80000000,,0.00016976,0.00144057,0.00015154,0.00141242,668747.91195950,97500.00000000,571247.91195950,5.85895294,0.22843805,0.21489916,0.90773625,0.26667023,1.25863411,0.78145468,-0.29232412,469,2017,0.74855968,2022,-0.23804292,0.44671160,0.19858758,,,0.55311864,0.12427671
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA80 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.80000000,0.25000000,0.80000000,QQQ<SMA200,0.01365225,0.27137620,0.01363564,0.27137620,620665.59824000,97500.00000000,523165.59824000,5.36580101,0.21969796,0.20698337,0.88729813,0.26391892,1.22811280,0.80454549,-0.27307090,574,2017,0.74855778,2022,-0.16260510,0.46022524,0.19858758,,,0.53961482,0.06869893
