label,kind,window,start,end,is_baseline,feasible,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA70,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.60000000,,0.00019521,0.00200464,0.00017551,0.00196826,587056.71319600,97500.00000000,489556.71319600,5.02109449,0.21357389,0.20107253,0.95243386,0.23222242,1.32584506,0.70202250,-0.30422656,560,2013,0.58344815,2022,-0.26331133,0.50830483,0.39803174,,,0.49149996,0.14619970
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA70 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.60000000,QQQ<SMA200,0.01610517,0.28804434,0.01608649,0.28804434,523761.49807250,97500.00000000,426261.49807250,4.37191280,0.20151431,0.18894274,0.92116002,0.22823855,1.27765347,0.76215001,-0.26440243,355,2013,0.58335236,2022,-0.17451192,0.52421864,0.39803174,,,0.47558215,0.06154395
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA70,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.70000000,,0.00016317,0.00180438,0.00014527,0.00179865,642975.80921400,97500.00000000,545475.80921400,5.59462368,0.22423100,0.21073066,0.92185094,0.25572373,1.27847539,0.70955805,-0.31601502,725,2013,0.67365352,2022,-0.27165132,0.46648919,0.29907325,,,0.53334764,0.14619028
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA70 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.70000000,QQQ<SMA200,0.01652136,0.28799017,0.01650447,0.28799017,573650.27289650,97500.00000000,476150.27289650,4.88359254,0.21203909,0.19861831,0.89248187,0.25176657,1.23398528,0.81931432,-0.25880066,576,2013,0.67372699,2022,-0.18382177,0.48283951,0.29906590,,,0.51699031,0.06159813
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA70,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.80000000,,0.00016709,0.00180438,0.00015050,0.00179865,685116.91297700,97500.00000000,587616.91297700,6.02684013,0.23139104,0.21746338,0.89603844,0.27556195,1.24087064,0.72814295,-0.31778244,725,2017,0.73255313,2022,-0.27168317,0.43452219,0.19887785,,,0.56531072,0.14620115
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA70 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.25000000,0.80000000,QQQ<SMA200,0.01675927,0.28794594,0.01674357,0.28794594,610567.42009100,97500.00000000,513067.42009100,5.26222995,0.21899458,0.20524218,0.86748951,0.27172054,1.19812331,0.73569277,-0.29767124,716,2017,0.73254866,2022,-0.18385828,0.45110615,0.19887785,,,0.54871834,0.06164236
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA70,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.30000000,0.60000000,,0.00016374,0.00230020,0.00014719,0.00227087,784313.73700750,97500.00000000,686813.73700750,7.04424346,0.24288973,0.23179430,0.99529122,0.25081111,1.39122359,0.69345452,-0.35026051,528,2023,0.62094169,2022,-0.31085828,0.47332751,0.39872558,,,0.52650876,0.17544991
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA70 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.30000000,0.60000000,QQQ<SMA200,0.01867149,0.34246615,0.01865516,0.34246615,686687.02291050,97500.00000000,589187.02291050,6.04294382,0.22896242,0.21770608,0.97238273,0.24315587,1.35269182,0.84325745,-0.27152137,528,2013,0.59942225,2022,-0.20614356,0.49181565,0.39872558,,,0.50800523,0.07703980
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA70,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.30000000,0.70000000,,0.00017652,0.00230020,0.00016089,0.00227087,893078.39388900,97500.00000000,795578.39388900,8.15977840,0.25872894,0.24555348,0.96304473,0.28075467,1.33966948,0.68465599,-0.37789626,731,2013,0.74592755,2022,-0.33542770,0.41971636,0.29853742,,,0.58010712,0.17544166
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA70 gate QQQ<SMA200,full,full,2012-01-03,2026-08-14,false,true,0.70000000,0.30000000,0.70000000,QQQ<SMA200,0.01873063,0.34235841,0.01871520,0.34235841,787765.05599800,97500.00000000,690265.05599800,7.07964160,0.24536080,0.23225952,0.94126389,0.27383987,1.30423507,0.81016871,-0.30285148,606,2013,0.74584156,2022,-0.23451713,0.43829705,0.29853742,,,0.56153624,0.07714755
