label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,data_dir,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.60000000,,0.00017196,0.00129477,0.00018494,0.00130885,609712.16613790,97500.00000000,512212.16613790,5.25345811,0.21667355,0.20476829,0.96924484,0.23040570,1.34966013,0.73661679,-0.29414691,528,2013,0.58752730,2022,-0.24996371,7570970.94834130,2842.52819154,1.25109527,0.02915414,0.50959964,0.39869115,,,0.49019203,0.13519339
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.60000000,QQQ<SMA200,0.01490807,0.28146329,0.01492096,0.28146387,555141.52328030,97500.00000000,457641.52328030,4.69375921,0.20630854,0.19482136,0.94280881,0.22691985,1.30892978,0.80303872,-0.25690983,355,2013,0.58757742,2022,-0.16541655,6607071.07424655,2484.09952885,1.17345398,0.02547794,0.52430940,0.39869115,,,0.47546525,0.06443035
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.70000000,,0.00016205,0.00112670,0.00018703,0.00122849,654388.76451983,97500.00000000,556888.76451983,5.71167964,0.22473193,0.21226146,0.93170300,0.25261197,1.29229352,0.75028565,-0.29952850,573,2013,0.65241939,2022,-0.24995939,10274459.28321042,3854.73404481,1.63586002,0.03953573,0.47012012,0.29905757,,,0.52966809,0.13521297
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.70000000,QQQ<SMA200,0.01524315,0.28139080,0.01526914,0.28139136,595995.24916102,97500.00000000,498495.24916102,5.11277179,0.21427284,0.20235572,0.90665810,0.24914196,1.25438484,0.82043231,-0.26117066,578,2013,0.65247292,2022,-0.16549954,9109085.10151404,3420.59496176,1.55834230,0.03508303,0.48521549,0.29901706,,,0.51457704,0.06450285
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.80000000,,0.00016955,0.00099549,0.00020841,0.00106470,694826.38395918,97500.00000000,597326.38395918,6.12642445,0.23156186,0.21861079,0.90633237,0.27129331,1.25551809,0.77109016,-0.30030452,573,2017,0.74214595,2022,-0.24994322,13101438.02320347,4914.83545492,2.00803036,0.05040857,0.44003199,0.19916392,,,0.55973420,0.13519562
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.25000000,0.80000000,QQQ<SMA200,0.01524021,0.28134415,0.01527802,0.28134469,632514.91469564,97500.00000000,535014.91469564,5.48733246,0.22103465,0.20865971,0.88187811,0.26806497,1.21895372,0.76016622,-0.29077147,576,2017,0.74214807,2022,-0.16551778,11709028.48574962,4395.53602618,1.92914729,0.04508242,0.45512789,0.19916392,,,0.54464907,0.06454953
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.60000000,,0.00015599,0.00141650,0.00016565,0.00152033,818283.05985341,97500.00000000,720783.05985341,7.39264677,0.24688907,0.23591757,1.01120000,0.24981413,1.41366492,0.70868215,-0.34837771,533,2023,0.65255155,2022,-0.30585434,7719053.91524789,2899.63866403,1.03604002,0.02973988,0.47357972,0.39867746,,,0.52623585,0.16223555
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.60000000,QQQ<SMA200,0.01705336,0.33420247,0.01706255,0.33420297,739952.74983727,97500.00000000,642452.74983727,6.58925897,0.23572645,0.22527096,0.99499180,0.24317620,1.38582327,0.87094056,-0.27065733,533,2013,0.60584002,2022,-0.20797845,6507944.07851448,2448.17844421,0.94573231,0.02510952,0.49048465,0.39867746,,,0.50933205,0.08087009
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.70000000,,0.00014986,0.00104856,0.00017232,0.00110547,911948.25470826,97500.00000000,814448.25470826,8.35331543,0.26053444,0.24738397,0.97254769,0.27898744,1.35276130,0.69964732,-0.37237967,606,2013,0.75290842,2022,-0.32631500,11441060.25432314,4292.94457500,1.43509951,0.04403020,0.42080539,0.29907402,,,0.57900407,0.16224047
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.70000000,QQQ<SMA200,0.01724569,0.33411580,0.01726501,0.33411627,823274.85929915,97500.00000000,725774.85929915,7.44384471,0.24916091,0.23656101,0.95481126,0.27288706,1.32386522,0.83740459,-0.29753947,605,2013,0.75277086,2022,-0.23136397,9890844.32399705,3714.59074239,1.34558764,0.03809837,0.43791572,0.29907402,,,0.56189845,0.08095679
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.80000000,,0.00015615,0.00122593,0.00018884,0.00130898,991024.13823029,97500.00000000,893524.13823029,9.16435014,0.27023804,0.25618488,0.94445933,0.30288439,1.30980025,0.71336789,-0.37882002,731,2013,0.84756949,2022,-0.32632788,15224104.11149274,5710.65464103,1.81999768,0.05857082,0.37867282,0.19869102,,,0.62111728,0.16224876
VT TQQQ/BTAL t30 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.30000000,0.80000000,QQQ<SMA200,0.01771593,0.33404326,0.01774874,0.33404371,894535.95201107,97500.00000000,797035.95201107,8.17472771,0.25870711,0.24534410,0.92660604,0.29691831,1.28146947,0.80822121,-0.32009444,578,2013,0.84766814,2022,-0.23141050,13340814.53733554,5007.15831586,1.73012366,0.05135547,0.39621779,0.19869102,,,0.60356151,0.08102935
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.60000000,,0.00013849,0.00115580,0.00014560,0.00117451,1006689.18184597,97500.00000000,909189.18184597,9.32501725,0.26831645,0.25784523,1.03415979,0.26443333,1.45328298,0.68089972,-0.39406162,563,2023,0.79271608,2022,-0.35241217,7080557.69562949,2659.50985468,0.82361191,0.02727702,0.45002333,0.39882549,,,0.54981390,0.18928800
VT TQQQ/BTAL t35 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.60000000,QQQ<SMA200,0.01893603,0.38552244,0.01894109,0.38552288,919400.39001821,97500.00000000,821900.39001821,8.42974759,0.25807504,0.24824517,1.03365828,0.25410878,1.44714762,0.85617043,-0.30142952,535,2013,0.62219162,2022,-0.24133512,5795617.26324807,2180.46101932,0.72420253,0.02236370,0.46882177,0.39882549,,,0.53101189,0.09872902
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.70000000,,0.00014316,0.00127646,0.00015738,0.00128402,1213761.18017389,97500.00000000,1116261.18017389,11.44883262,0.29001117,0.27766672,1.00363950,0.29935292,1.40128072,0.69133378,-0.41949515,605,2023,0.82088112,2022,-0.37553390,11832069.30427954,4440.42775682,1.20345767,0.04554285,0.38587869,0.29871598,,,0.61394591,0.18930306
VT TQQQ/BTAL t35 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.70000000,QQQ<SMA200,0.01935676,0.38533651,0.01937066,0.38533691,1093093.93157770,97500.00000000,995593.93157770,10.21121981,0.27824088,0.26656628,0.99472315,0.29003937,1.38353216,0.83117764,-0.33475501,601,2013,0.77081590,2022,-0.26855621,9958766.70561310,3740.76410396,1.10344677,0.03836681,0.40506678,0.29871598,,,0.59474347,0.09891499
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.80000000,,0.00015620,0.00139484,0.00018465,0.00152469,1338824.73539266,97500.00000000,1241324.73539266,12.73153575,0.30256988,0.28807681,0.96893148,0.33029394,1.34736494,0.67850097,-0.44593877,753,2013,0.93010059,2022,-0.39777736,16919463.83378243,6346.50498984,1.62109990,0.06509236,0.33218958,0.19888502,,,0.66760912,0.18929850
VT TQQQ/BTAL t35 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.35000000,0.80000000,QQQ<SMA200,0.01946636,0.38527670,0.01949136,0.38527708,1204111.42885176,97500.00000000,1106611.42885176,11.34986081,0.29063680,0.27682005,0.95731732,0.32175390,1.32681230,0.79610655,-0.36507274,752,2013,0.93008839,2022,-0.29463627,14558792.42966266,5464.25125898,1.52173800,0.05604360,0.35152843,0.19907612,,,0.64828298,0.09897482
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.40000000,0.60000000,,0.00013865,0.00128488,0.00014263,0.00132449,1106161.85577298,97500.00000000,1008661.85577298,10.34524980,0.27768037,0.26782545,1.02646749,0.27688267,1.44696233,0.63279235,-0.43881753,567,2023,0.89228381,2022,-0.39772524,6433456.80913520,2416.98398797,0.70333288,0.02478958,0.43544448,0.39885787,,,0.56439541,0.21633756
VT TQQQ/BTAL t40 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.40000000,0.60000000,QQQ<SMA200,0.02065935,0.43531963,0.02066380,0.43532006,1028568.96983180,97500.00000000,931068.96983180,9.54942533,0.26912142,0.26012185,1.04261330,0.26238890,1.46419861,0.81392814,-0.33064518,535,2013,0.62247501,2022,-0.27457648,5137074.01417983,1933.63986828,0.59466687,0.01983220,0.45596462,0.39885787,,,0.54387288,0.11811069
VT TQQQ/BTAL t40 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,tests/data/2026-08-20-net15,0.75000000,0.40000000,0.70000000,,0.00015493,0.00151518,0.00016683,0.00164672,1498977.04580312,97500.00000000,1401477.04580312,14.37412355,0.31204782,0.30009166,1.02239381,0.31527439,1.43412654,0.67666782,-0.46115363,605,2023,0.97825623,2022,-0.41921693,10893501.21341656,4088.36752551,0.95269930,0.04193197,0.36131182,0.29871619,,,0.63850617,0.21633059
