label,kind,window,start,end,is_baseline,feasible,cost_bps,cash_yield,params.vol.lam,params.sigma_target,params.w_max,params.gate,avg_misallocation,max_misallocation,avg_asset_deviation,max_asset_deviation,final_value,total_contributed,net_profit,net_profit_pct,cagr,xirr,sharpe,volatility,sortino,calmar,max_drawdown,max_drawdown_days,best_year,best_year_return,worst_year,worst_year_return,traded_value,total_fees,turnover,fee_drag,exposure.BTAL.avg,exposure.BTAL.min,exposure.SPY.avg,exposure.SPY.min,exposure.TQQQ.avg,exposure.TQQQ.min
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.60000000,,0.00017534,0.00137753,0.00018880,0.00149249,617584.19222580,97500.00000000,520084.19222580,5.33419684,0.21778827,0.20612811,0.97327714,0.23039158,1.35541166,0.74005043,-0.29428842,528,2013,0.58782901,2022,-0.24906696,7609654.41110102,2857.01215231,1.25123729,0.02930269,0.50958363,0.39886284,,,0.49020467,0.13521039
VT TQQQ/BTAL t25 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.60000000,QQQ<SMA200,0.01430444,0.28169776,0.01431625,0.28169832,562978.16638954,97500.00000000,465478.16638954,4.77413504,0.20767812,0.19630940,0.94668476,0.22727948,1.31452705,0.80840595,-0.25689830,355,2013,0.58782901,2022,-0.16430333,6652166.45736303,2500.88935471,1.17403361,0.02565015,0.52371370,0.39886284,,,0.47607381,0.06438958
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.70000000,,0.00017724,0.00135866,0.00020389,0.00138955,661978.56315276,97500.00000000,564478.56315276,5.78952372,0.22574709,0.21348283,0.93502253,0.25260099,1.29701275,0.75332710,-0.29966676,573,2013,0.65316086,2022,-0.24907549,10320380.19058432,3871.92599202,1.63558046,0.03971206,0.47009357,0.29887223,,,0.52967946,0.13521437
VT TQQQ/BTAL t25 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.70000000,QQQ<SMA200,0.01418085,0.28163667,0.01420591,0.28163724,604415.25716189,97500.00000000,506915.25716189,5.19913084,0.21579196,0.20384324,0.90990803,0.24981542,1.25915905,0.82556660,-0.26138649,578,2013,0.65316086,2022,-0.16434914,9175464.70524797,3445.33585769,1.55838893,0.03533678,0.48409412,0.29887223,,,0.51567472,0.06445066
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.80000000,,0.00018359,0.00128334,0.00022262,0.00138833,702056.36622521,97500.00000000,604556.36622521,6.20057812,0.23247823,0.21970664,0.90899906,0.27132935,1.25926278,0.77373059,-0.30046405,573,2017,0.74216968,2022,-0.24907664,13152970.19577806,4934.06160472,2.00772695,0.05060576,0.43997727,0.19861167,,,0.55977491,0.13519688
VT TQQQ/BTAL t25 w0-80 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.25000000,0.80000000,QQQ<SMA200,0.01417626,0.28157503,0.01421356,0.28157555,640727.69884318,97500.00000000,543227.69884318,5.57156614,0.22246463,0.21002658,0.88471797,0.26873594,1.22307513,0.76446158,-0.29100825,576,2017,0.74216545,2022,-0.16441386,11787080.95472239,4424.57609788,1.92896873,0.04538027,0.45398249,0.19861167,,,0.54577363,0.06451235
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.60000000,,0.00015227,0.00101942,0.00016387,0.00112705,828813.38885373,97500.00000000,731313.38885373,7.50065014,0.24801545,0.23727038,1.01488401,0.24979517,1.41894801,0.71176350,-0.34845205,533,2023,0.66033907,2022,-0.30499763,7761177.34320415,2915.35397937,1.03617394,0.02990107,0.47357045,0.39903556,,,0.52624887,0.16225627
VT TQQQ/BTAL t30 w0-60 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.60000000,QQQ<SMA200,0.01673797,0.33449039,0.01674659,0.33449089,750070.49832745,97500.00000000,652570.49832745,6.69303075,0.23699861,0.22670812,0.99866844,0.24335914,1.39111590,0.87902432,-0.26961553,533,2013,0.60612068,2022,-0.20682819,6552255.70103918,2464.76409585,0.94644158,0.02527963,0.49015931,0.39903556,,,0.50965974,0.08081459
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.70000000,,0.00016361,0.00153593,0.00018318,0.00154559,922568.31208334,97500.00000000,825068.31208334,8.46223910,0.26156136,0.24860916,0.97550074,0.27897753,1.35697421,0.70211562,-0.37253318,606,2013,0.75326571,2022,-0.32557424,11496758.59532291,4313.79991424,1.43529947,0.04424410,0.42077742,0.29845441,,,0.57901829,0.16224464
VT TQQQ/BTAL t30 w0-70 QQQ:VOL_EWMA75 gate QQQ<SMA200,full,full,2012-01-03,2026-08-20,false,true,"{""*"": 6, ""BTAL"": 6, ""QQQ"": 1, ""SPY"": 0.7, ""TQQQ"": 1.5}",0.03000000,0.75000000,0.30000000,0.70000000,QQQ<SMA200,0.01673164,0.33438904,0.01675093,0.33438951,833901.02676331,97500.00000000,736401.02676331,7.55283104,0.25043238,0.23791783,0.95770208,0.27322582,1.32805712,0.84415089,-0.29666779,605,2013,0.75326571,2022,-0.23039910,9955061.62149716,3738.55764005,1.34621486,0.03834418,0.43735239,0.29845441,,,0.56244338,0.08091597
